subcriteria,question,dept,nama_dokumen,no_sop_wi_std_form_other
Sistem manajemen krisis dan pemulihan insiden,"Apakah perusahaan mempunyai safety induction yang diberikan kepada pegawai (khususnya pegawai baru), kontraktor dan tamu sebagai bagian dari pemberitahuan mengenai rencana kontingensi perusahaan? Bagaimana isi dari safety induction tersebut? * ",MSU,Materi Pelatihan Tanggap Darurat Kebakaran,Per 28 Mar'25
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan memiliki mekanisme internal untuk terus mengaudit/meninjau kegiatan impor/ekspor dan mendokumentasikan catatannya? * ,QSA,PRO Internal Audit,PRO-DIR-005
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan memiliki mekanisme internal untuk terus mengaudit/meninjau kegiatan impor/ekspor dan mendokumentasikan catatannya? * ,QSA,WI Audit Internal AEO,WIS-DIR-005-003
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan memiliki mekanisme internal untuk terus mengaudit/meninjau kegiatan impor/ekspor dan mendokumentasikan catatannya? * ,QSA,Penyampaian laporan audit internal,Laporan Audit
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan melakukan kegiatan monitoring mandiri secara berkala terhadap kriteria AEO Apakah perusahaan menyimpan catatan kegiatan monitoring mandiri? * ,QSA,WI Audit Internal AEO,WIS-DIR-005-003
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan melakukan audit internal untuk menilai kepatuhan berkelanjutan terhadap kriteria AEO? * ,QSA,WI Audit Internal AEO,WIS-DIR-005-003
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan memiliki mekanisme internal untuk terus meningkatkan dan melakukan perbaikan terkait kegiatan impor/ekspor dan mengatasi masalah yang diidentifikasi dalam audit/review?,QSA,WI Audit Internal AEO,WIS-DIR-005-003
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan telah menerapkan mekanisme untuk melakukan pertanggungjawaban ketika aktivitas perusahaan tidak sesuai dengan persyaratan AEO?,QSA,PRO Internal Audit,PRO-DIR-005
"Sistem pengukuran, analisis dan peningkatan",Apakah tindakan korektif yang diperlukan oleh DJBC telah dilakukan oleh penanggung jawab/perwakilan legal/atau manajer senior yang bertanggung jawab atas urusan kepabeanan? * ,QSA,-,-
Surat Permohonan *,Surat permohonan harus ditandatangani oleh pimpinan perusahaan ,AEO,Surat permohonan,Surat permohonan
Informasi umum dan formulir isian penilaian mandiri kualitatif *,Informasi umum dan formulir isian penilaian mandiri kualitatif sesuai lampiran Peraturan Menteri Keuangan tentang AEO yang telah diisi lengkap ,AEO,Daftar pertanyaan mengenai informasi umum tentang Operator Ekonomi dan formulir isian penilaian mandiri kualitatif (selfassessment questionnaire) yang telah diisi lengkap,Daftar pertanyaan mengenai informasi umum tentang Operator Ekonomi dan formulir isian penilaian mandiri kualitatif (self-assessment questionnaire) yang telah diisi lengkap
Surat pernyataan kesediaan untuk menjadi AEO *,Surat pernyataan kesediaan untuk menjadi AEO yang harus ditandatangani oleh pimpinan perusahaan sesuai lampiran Peraturan Menteri Keuangan tentang AEO ,AEO,Surat pernyataan kesediaan untuk menjadi AEO yang telah ditdtgn pimp. AEO,Surat pernyataan kesediaan untuk menjadi AEO yang telah ditdtgn pimp. AEO
Struktur organisasi *,Struktur organisasi lengkap yang menggambarkan hirarki pada perusahaan ,AEO,Struktur Organisasi Perusahaan,Struktur organisasi dari Operator Ekonomi
"Tata letak kantor, pabrik, gudang, dan lokasi lain *","Denah perusahaan termasuk kantor, pabrik, gudang, dan lokasi lain ",AEO,Tata letak kantor/pabrik/gudang,Tata letak kantor/pabrik/gudang
Akta pendirian perusahaan dan akta perubahan terakhir *,Akta pendirian perusahaan dan akta perubahan terakhir yang disahkan oleh notaris ,AEO,Akta pendirian perusahaan dan/atau akta perubahan terakhir,Akta pendirian perusahaan dan/atau akta perubahan terakhir
Surat Keputusan tentang fasilitas kepabeanan dan fiskal dari kementerian terkait,Surat Keputusan tentang fasilitas kepabeanan dan fiskal dari kementerian terkait yang dimiliki (jika ada) ,AEO,Keputusan mengenai penetapan fasilitas kepabeanan yang dimiliki,SKEP USDFS
Sertifikat atau pengakuan sebagai AEO dari negara lain,Sertifikat atau pengakuan sebagai AEO dari negara lain yang dimiliki oleh perusahaan atau induk perusahaan ,AEO,N/A,N/A
Surat keterangan fiskal *,Surat keterangan fiskal yang memuat informasi yang diberikan oleh Direktorat Jenderal Pajak mengenai kepatuhan Wajib Pajak selama periode tertentu untuk memenuhi persyaratan memperoleh pelayanan atau dalam rangka pelaksanaan kegiatan tertentu ,AEO,Surat keterangan fiskal yang memuat informasi yang diberikan oleh Direktorat Jenderal Pajak mengenai kepatuhan Wajib Pajak selama periode tertentu untuk memenuhi persyaratan memperoleh pelayanan atau dalam rangka pelaksanaan kegiatan tertentu,Surat keterangan fiskal yang memuat informasi yang diberikan oleh Direktorat Jenderal Pajak mengenai kepatuhan Wajib Pajak selama periode tertentu untuk memenuhi persyaratan memperoleh pelayanan atau dalam rangka pelaksanaan kegiatan tertentu
Dokumen lainnya,"Dokumen lainnya, seperti profil Operator Ekonomi, sertifikat dari organisasi internasional untuk standardisasi, International Ship and Port Facility Security Code, dan/atau Regulated Agent/Known Consignor ",AEO,"Dokumen lainnya, seperti profil Operator Ekonomi, sertifikat dari organisasi internasional untuk standardisasi, International Ship and Port Facility Security Code, dan/atau Regulated Agent/Known Consignor","Dokumen lainnya, seperti profil Operator Ekonomi, sertifikat dari organisasi internasional untuk standardisasi, International Ship and Port Facility Security Code, dan/atau Regulated Agent/Known Consignor"
